Change Log
==================================================

File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/13.md | Original: 'commutezback' | Updated: 'commutez back'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/03.md | Original: 'swapztires' | Updated: 'swapz tires'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/03.md | Original: 'getzthe' | Updated: 'getz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/17.md | Original: 'resortzto' | Updated: 'resortz to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/17.md | Original: 'goezlooking' | Updated: 'goez looking'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/17.md | Original: 'findztwo' | Updated: 'findz two'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/23.md | Original: 'doezthe' | Updated: 'doez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/23.md | Original: 'eatztoo' | Updated: 'eatz too'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/07.md | Original: 'attachezthe' | Updated: 'attachez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/07.md | Original: 'strategizezholes' | Updated: 'strategizez holes'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/24.md | Original: 'attackzthe' | Updated: 'attackz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/24.md | Original: 'pausezto' | Updated: 'pausez to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/24.md | Original: 'triezto' | Updated: 'triez to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/24.md | Original: 'cleanzthe' | Updated: 'cleanz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/24.md | Original: 'findzsummer' | Updated: 'findz summer'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/10.md | Original: 'considerzfixing' | Updated: 'considerz fixing'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/10.md | Original: 'settlezfor' | Updated: 'settlez for'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/14.md | Original: 'conspirezwith' | Updated: 'conspirez with'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/14.md | Original: 'decidezto' | Updated: 'decidez to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/30.md | Original: 'breakzfor' | Updated: 'breakz for'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/30.md | Original: 'zé' | Updated: 'z é'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/04.md | Original: 'decidezto' | Updated: 'decidez to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/15.md | Original: 'hertzmachine' | Updated: 'hertz machine'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/15.md | Original: 'doezthe' | Updated: 'doez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/15.md | Original: 'agreezwith' | Updated: 'agreez with'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/21.md | Original: 'startzlooking' | Updated: 'startz looking'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/21.md | Original: 'stopzto' | Updated: 'stopz to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/21.md | Original: 'getzconnectors' | Updated: 'getz connectors'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/21.md | Original: 'washez_exvee_' | Updated: 'washez _exvee_'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/05.md | Original: 'washezthe' | Updated: 'washez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/25.md | Original: 'bookzrio' | Updated: 'bookz rio'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/11.md | Original: 'tacklezthe' | Updated: 'tacklez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/11.md | Original: 'winzwith' | Updated: 'winz with'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/11.md | Original: 'wonderzwhich' | Updated: 'wonderz which'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/04/01.md | Original: 'orderzlegs' | Updated: 'orderz legs'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/28.md | Original: 'packznicely' | Updated: 'packz nicely'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/08.md | Original: 'buriezthe' | Updated: 'buriez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/08.md | Original: 'getzten' | Updated: 'getz ten'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/08.md | Original: 'restzbefore' | Updated: 'restz before'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/08.md | Original: 'seezsomething' | Updated: 'seez something'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/08.md | Original: 'mowzthe' | Updated: 'mowz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/19.md | Original: 'fulfillzthe' | Updated: 'fulfillz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/06.md | Original: 'takezthe' | Updated: 'takez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/26.md | Original: 'wasteztime' | Updated: 'wastez time'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/26.md | Original: 'uykusuzluk' | Updated: 'uykusuz luk'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/12.md | Original: 'z2' | Updated: 'z 2'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/12.md | Original: 'takezwollie' | Updated: 'takez wollie'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/12.md | Original: 'getzthe' | Updated: 'getz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/12.md | Original: 'coachezthe' | Updated: 'coachez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/12.md | Original: 'takezher' | Updated: 'takez her'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/02.md | Original: 'changeztire' | Updated: 'changez tire'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/02.md | Original: 'cleanzmac' | Updated: 'cleanz mac'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/27.md | Original: 'getzsupplies' | Updated: 'getz supplies'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/27.md | Original: 'walkzto' | Updated: 'walkz to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/13.md | Original: 'drizzling' | Updated: 'drizz ling'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/13.md | Original: 'waitzfor' | Updated: 'waitz for'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/13.md | Original: 'crazy' | Updated: 'craz y'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/03.md | Original: 'triezserver' | Updated: 'triez server'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/03.md | Original: 'feedzthe' | Updated: 'feedz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/03.md | Original: 'jogzto' | Updated: 'jogz to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/17.md | Original: 'goezthe' | Updated: 'goez the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/17.md | Original: 'agreezto' | Updated: 'agreez to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/17.md | Original: 'getzthe' | Updated: 'getz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/17.md | Original: 'eatzdelicious' | Updated: 'eatz delicious'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/23.md | Original: 'payzthe' | Updated: 'payz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/23.md | Original: 'hitzthe' | Updated: 'hitz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/23.md | Original: 'swapzthe' | Updated: 'swapz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/23.md | Original: 'getztwo' | Updated: 'getz two'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/23.md | Original: 'getzfika' | Updated: 'getz fika'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/23.md | Original: 'feedzthe' | Updated: 'feedz the'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/07.md | Original: 'eatzwhatever' | Updated: 'eatz whatever'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/24.md | Original: 'triezwise' | Updated: 'triez wise'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/24.md | Original: 'chezclaude' | Updated: 'chez claude'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/10.md | Original: 'spinzto' | Updated: 'spinz to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/10.md | Original: 'putzgarden' | Updated: 'putz garden'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/10.md | Original: 'triezto' | Updated: 'triez to'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/10.md | Original: 'overcookzpasta' | Updated: 'overcookz pasta'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/14.md | Original: 'crazy' | Updated: 'craz y'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/14.md | Original: 'zé' | Updated: 'z é'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/20.md | Original: 'z1' | Updated: 'z 1'
File: /Users/lucarv/Documents/repos/Blot/blot-too/posts/2023/05/20.md | Original: 'takezlili' | Updated: 'takez lili'
